Restaurant ID,Restaurant Name,Has Table booking,Has Online delivery,Is delivering now,Price range,aggregateID,Aggregate rating,Votes,Address,Cuisines,Longitude,Latitude
6601589,Coco Bambu,No,No,No,4,5,4.2,17,"Bras_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Bras_lia",International,-47.889,-15.7865
6601862,Tayp,No,No,No,4,4,3.6,5,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Bras_lia","Peruvian, Latin American",-47.872359,-15.860621
6601595,Outback Steakhouse,No,No,No,4,5,4,10,"ParkShopping - Piso 2, SAI/SO, rea 6580, Guar I, Bras_lia","American, Grill",-47.95628333,-15.83451389
6601158,Manzu,No,No,No,4,3,3.2,6,"Ponto Lago Sul, SHIS 10, Lote 9, Lago Sul, Bras_lia",Seafood,-47.87283333,-15.82566667
6600427,Coco Bambu,No,No,No,4,6,4.9,30,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Bras_lia",International,-47.8685,-15.819
6600116,Gero,No,No,No,4,3,3.3,8,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Bras_lia",Italian,-47.885812,-15.720118
6601457,Brazilian American Burgers,No,No,No,2,4,3.6,9,"CLSN 301, Bloco C, Loja 86, Sudoeste, Bras_lia","American, Burger",-47.92102778,-15.79753056
7303219,Pesqueiro Eco Gourmet,No,No,No,4,5,4,7,"Praia da Barra da Tijuca, Avenida L_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro","Seafood, Bar Food, Brazilian",-43.377,-23.0115
7304307,Confeitaria Colombo,No,No,No,4,6,4.8,29,"Rua Gon_alves Dias, 32, Centro, Rio de Janeiro","Desserts, Cafe",-43.178826,-22.905293
7301215,Bibi,No,No,No,3,6,4.7,24,"Rua Santa Clara, 36, Copabana, Rio de Janeiro","Juices, Healthy Food",-43.18669167,-22.97207222
7300596,Cervantes,No,No,No,3,6,4.5,29,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro","Beverages, Bar Food, Fast Food",-43.17583333,-22.96216667
7300612,Amir,No,No,No,4,5,4.2,11,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Lebanese,-43.176,-22.96516667
7300704,TT Burger,No,No,No,3,6,4.8,19,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro",Burger,-43.191,-22.98683333
7300955,Braseiro da Gvea,No,No,No,4,6,4.9,40,"Pra_a Santos Dumont, 116, Gvea, Rio de Janeiro","Brazilian, Bar Food",-43.227042,-22.973507
7300521,Balada Mix,No,No,No,3,6,4.6,21,"Rua An_bal de Mendon_a, 37, Ipanema, Rio de Janeiro","Brazilian, Healthy Food, Juices, Pizza",-43.211425,-22.98520833
7300515,Garota de Ipanema,No,No,No,4,6,4.9,49,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro","Brazilian, Bar Food",-43.203,-22.98533333
7300483,Zaz Bistr Tropical,No,No,No,4,6,4.6,21,"Rua Joana Anglica, 40, Ipanema, Rio de Janeiro",Brazilian,-43.20520833,-22.98531944
7301064,Fil de Ouro,No,No,No,3,5,4.3,14,"Rua Jardim Botnico, 731, Jardim Botnico, Lagoa, Rio de Janeiro",Brazilian,-43.219563,-22.966647
7304312,D.O.C Ristorante,No,No,No,4,5,4,5,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amricas, 3500, Barra da Tijuca, Rio de Janeiro",Italian,-43.34879167,-22.99991111
7300004,Sushi Leblon,No,No,No,4,6,4.6,25,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Japanese,-43.227,-22.98416667
7300868,Talho Capixaba,No,No,No,4,5,4.4,13,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro","Bakery, Sandwich, Brazilian",-43.22566667,-22.98516667
7302637,Leme Light,No,No,No,2,5,4.2,7,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Brazilian,-43.17279167,-22.963925
7302140,Shirley,No,No,No,4,5,4.2,8,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro","Brazilian, Seafood",-43.17126389,-22.96337222
7305048,Quiosque Chopp Brahma,No,No,No,3,1,0,1,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ","Bar Food, Brazilian",-43.341164,-22.870413
7302898,Apraz_vel,No,No,No,4,6,4.7,44,"Rua Apraz_vel, 62, Santa Teresa, Rio de Janeiro",Brazilian,-43.18736944,-22.92481389
7302859,Aconchego Carioca,No,No,No,3,6,4.6,24,"Rua Baro de Iguatemi, 379, Tijuca, Rio de Janeiro","Brazilian, Bar Food",-43.21551111,-22.91370833
7301700,Garota de Ipanema,No,No,No,3,5,4.3,10,"Avenida Joo Alves, 56, Urca, Rio de Janeiro","Brazilian, Bar Food",-43.16266667,-22.94783333
6706313,Cantina Famiglia Mancini,No,No,No,4,6,4.5,49,"Rua Avanhandava, 81, Bela Vista, So Paulo 10000","Italian, Pizza",-46.64516667,-23.55066667
6704326,Templo da Carne - Marcos Bassi,No,No,No,4,5,4.4,17,"Rua Treze de Maio, 668, Bela Vista, So Paulo 01327000","Steak, BBQ",-46.64633333,-23.559
6711179,Gopala Hari,No,No,No,3,3,3.1,5,"Rua Antonio Carlos, 429, Consola_o, So Paulo",Indian,-46.65866667,-23.55616667
6702797,Jiquitaia,No,No,No,4,5,4.1,15,"Rua Antnio Carlos, 268, Consola_o, So Paulo",Brazilian,-46.657523,-23.55671
