countryCode,Currency
1,Indian Rupees(Rs.)
14,Dollar($)
30,Brazilian Real(R$)
37,Dollar($)
94,Indonesian Rupiah(IDR)
148,NewZealand($)
162,Botswana Pula(P)
166,Qatari Rial(QR)
184,Dollar($)
189,Rand(R)
191,Sri Lankan Rupee(LKR)
208,Turkish Lira(TL)
214,Emirati Diram(AED)
215,Pounds(Σ)
216,Dollar($)
